word,frequency
aabang,2
aabot,2
aabsent,1
aabugado,1
aabutin,3
aadjust,1
aagawaw,1
aakalang,1
aako,1
aalaga,1
aalagaan,1
aalahanin,1
aalala,1
aalis,1
aangkas,1
aanounce,1
aantay,1
aaral,3
aarawan,1
aasahan,2
aasar,1
aasawahin,1
aasim,2
aassume,1
aatakihin,1
aayusin,1
abangan,2
abangers,1
abay,2
abnoy,1
abunjing,2
acads,4
accla,2
accre,1
adbokasiya,1
administrasyon,1
admu,3
aegyo,1
aespa,1
aftiee,1
agaw,1
aguy,1
akalaing,1
akinse,1
akoh,1
akoy,3
aktibista,1
akyat,1
alagaan,2
alagad,1
alak,3
alangan,1
albolaryo,1
alinsangan,1
alisin,1
aliw,2
altrix,1
amang,1
ambag,3
ambagal,2
ambibilis,1
ambilis,1
ambobo,1
amerikano,1
ampalaya,1
ampanget,2
ampogi,2
ampota,15
ampotek,3
ampteam,1
amputa,19
amputek,1
andami,4
andaming,5
andito,4
andoon,2
andun,1
aneng,1
angee,1
angge,1
angkinin,1
anlakas,2
anlala,1
ansakit,4
ansama,1
antagal,4
antay,4
antok,7
antukin,1
anung,3
apat,8
apoy,1
aranyaka,1
arawaraw,1
aray,2
areglo,1
arisse,1
arowen,1
aruga,1
asaan,1
asarin,2
asensado,1
askal,1
asong,5
asskissers,1
assumera,1
assumero,1
asukal,1
asungot,1
atake,1
atakihin,1
atang,3
atenean,2
atensyon,1
atraso,1
attuid,1
awatin,1
awayin,1
awit,2
axie,1
ayato,1
ayawan,1
ayick,1
ayoko,59
ayokong,2
ayon,4
ayorn,1
ayos,11
ayusin,10
b,2
bababa,1
babaeng,3
babaero,1
babaerong,2
babago,1
babalik,6
babasahin,1
babash,1
babaw,3
babawi,1
babayaran,2
babolgam,1
baboy,4
babyahe,1
babyalbiko,1
babytawan,1
bading,7
badtrip,9
baduy,1
bagal,4
bagsak,2
bagsakan,1
baguhin,1
bagyo,1
bahala,10
bahing,1
baho,3
bakasyon,6
baket,2
bakitt,1
bakla,14
baklang,2
baklita,1
baks,1
bakuran,2
balahibo,1
balakin,1
balat,1
balibagin,1
balikan,6
balikat,1
baliktad,1
baliktarin,1
balimbing,1
balitaan,1
balitang,1
baliw,11
bananaq,1
bangketa,1
bangtan,4
bansa,3
bantot,1
bantutan,2
baog,1
baon,1
baoninam,1
barabida,1
baragan,1
baranggay,1
bardagulan,3
barya,1
basag,2
basagolerows,1
basahin,6
basang,2
basehan,1
baso,1
bastusin,3
batas,3
batiin,2
bawal,14
bawat,3
bawi,1
bawian,1
bawiin,2
bayad,6
bayag,1
bayaran,4
bayarin,1
bbmshit,1
bclisters,2
bebenta,1
bebetime,1
bebreak,1
bebs,2
beerday,1
behh,1
beks,1
belift,1
