word,frequency
<<<<<<< HEAD
aadlaw,1
abadilla,1
abaga,7
abaraham,1
abarim,2
abiabi,1
abiabihon,1
abialbon,1
abias,4
abidan,2
abiezer,2
abiktima,1
abilidad,48
abimael,2
abimelec,1
abisai,4
abisua,1
abitob,1
abiu,7
abli,8
ablihan,6
ablihi,1
abog,4
abohan,1
abohon,7
abokado,5
abreha,1
abrehan,3
abriha,1
abrihan,3
abrihi,2
abrolhosensis,1
abrona,3
abscbn,1
abtan,1
abtanan,3
abtik,4
abton,1
abug,8
abughoan,2
abuhon,2
abunda,4
aburido,3
abusado,1
abutanan,4
accropora,1
achab,6
achaz,2
achis,2
achitophel,2
achsaph,1
acrabim,1
actiniformis,3
acul,1
adada,1
adaias,1
adalwa,1
adaw,1
adbays,1
adbertisment,2
adbokasiya,1
adlalw,1
adlaw,514
adlawa,109
adlawadlaw,25
adlawan,1
adlawng,9
administrasyon,8
administrasyong,1
administratibo,1
adminstrador,1
adobong,6
adobosilog,1
adonibezec,1
adoraim,1
adoram,3
adosilog,4
adtoa,1
adtoan,3
adtong,12
adtoon,3
adtos,2
adtuan,2
adua,1
adubay,1
adullam,2
aduna,135
adunahan,8
adunat,1
adunay,569
advetiser,1
advincula,1
adzhar,2
aequituberculata,2
agalon,21
agarenhon,1
agas,2
agaw,1
agdahon,1
agham,6
aghambuhay,1
aghop,1
agiaanan,1
agianan,12
agig,3
agigamit,1
=======
abaga,3
abidan,1
abiktima,1
abilidad,9
abiu,1
ablihan,1
abog,1
abohon,2
abokado,1
abtanan,1
abug,3
abughoan,1
aburido,1
abusado,1
abutanan,1
achab,1
achis,1
achsaph,1
actiniformis,2
adada,1
adalwa,1
adbays,1
adisir,1
adlaw,113
adlawa,20
adlawadlaw,4
adlawng,3
administrasyon,4
administrasyong,1
adminstrador,1
adobong,1
adoram,2
adtoa,1
adtong,2
adtuan,1
adubay,1
aduna,32
adunahan,1
adunay,147
advetiser,1
adzhar,2
aequituberculata,1
agalon,8
agham,2
>>>>>>> 9dfe370b30e15142589708a5424f55a0604acdbd
agigising,1
agipo,1
agnas,1
agng,1
<<<<<<< HEAD
agresibo,3
agrikultura,2
agtang,4
aguido,1
agupop,8
aguroy,1
ahalia,1
ahensiya,1
ahensya,4
ahente,1
ahia,1
ahicam,2
ahiezer,2
ahijas,1
ahimaas,1
ahimelech,1
ahio,1
ahira,2
ahisar,1
ahoa,1
ahohanon,1
aholiba,1
aholibama,5
ahumai,1
ahussath,1
aialon,1
akademiko,2
akademiya,1
akademya,1
akagawa,1
akbayan,1
aklat,1
akng,1
akoa,109
akoang,92
akonektado,1
akongpagkatawo,1
akoy,17
aksento,1
akses,2
aksidenta,1
aksidente,14
aksyon,11
aktibista,1
aktibistang,2
aktibo,11
aktibong,2
aktor,3
aktres,3
akusado,3
akwaryo,1
akwaryum,1
alagaan,1
alagad,25
alagang,1
alagian,1
alagianan,5
alahas,9
alak,2
alamag,1
alamalam,1
alamdag,2
alampuanan,1
alaosto,1
alasdiyes,1
alasotso,1
alassiyete,1
alauna,1
alaut,6
alawiton,5
albarikoke,1
alcornoque,1
alegasyon,2
aleksandriya,1
aleluya,1
alemang,1
alemansya,1
alemanya,13
alerdyik,8
alerhiya,1
alfredi,1
alhebra,1
alho,1
alibangbang,6
alibio,1
alijam,2
alilang,1
alili,1
alimahan,1
alimuot,2
alindanaw,1
aling,1
alionycteris,1
alipunga,1
alisto,1
aliwas,1
aliyenihena,1
alkalde,2
alkoholikong,1
allingi,2
alluium,1
alminaza,1
almodad,1
almondiblataim,2
alokasyon,1
aloya,1
alpabeto,2
alsahon,1
alternatibo,1
alternatibong,1
alundris,1
alveopara,1
alveopora,2
alveopra,1
alviar,1
alyas,1
alyenihena,1
amahan,294
amail,1
amalec,1
amalecahanon,1
amalekahanon,2
amam,1
amang,4
amarias,2
amasias,2
amaw,6
ambak,3
ambot,7
ambulansya,2
ambut,1
amega,1
amerikana,1
amerikano,16
amerkano,3
amihanan,14
amihanang,9
amihanangkasadpang,1
amihanankasadpan,1
amihang,1
amimislon,11
aminadab,1
ammisaddai,1
ammonhon,1
amoa,15
amoang,20
amorehanon,11
amorrehanon,1
amot,1
ampalaya,2
ampaw,3
ampay,6
ampibyo,1
ampingan,3
ampingi,1
ampliato,1
ampo,7
amraphel,1
amua,1
anaa,133
anaay,23
anab,1
anachanon,1
anag,1
analyn,1
anamanam,1
anang,23
ananiah,1
ananoh,1
anarath,1
anaswagan,1
anathoth,2
anathothias,1
anathothnon,1
anay,2
anciano,30
ancieto,1
andakan,1
andam,44
andan,1
andana,3
andanang,1
andanas,1
andap,1
andoon,1
andreo,1
anduol,1
aneks,1
angal,1
angan,1
angangan,1
angat,2
angaw,2
angay,59
angayan,9
angayang,2
angayng,2
anggulo,1
angkas,4
angkol,3
angkon,1
angnegros,1
angpasko,1
angyaw,1
anha,7
anhi,7
anibersaryo,3
aniceto,1
anihon,2
animality,1
animismo,1
animista,2
anindot,1
aning,57
aninipot,1
anito,4
anitos,1
anng,1
anob,1
anoxypristis,1
antepara,2
anthocercis,1
antiamerikan,2
antihos,1
antikidnapping,1
antinganting,1
antingua,1
antipara,3
antropologo,2
antropolohiya,1
antuson,1
antyohos,1
anumang,1
anusa,8
anyag,2
anyos,22
apapangig,4
aparador,4
apat,2
apektado,2
apelyido,2
apendise,9
aphaim,1
aphec,1
apheca,1
apila,1
apilyedo,4
apko,1
aplaya,3
aplikasyon,4
apohan,3
apomys,2
apostoles,1
apreloved,1
aprika,2
aprikano,1
apsan,1
apuli,7
arabadehanon,1
arabah,3
arabianhon,1
aracehanon,1
aralin,1
aranghita,2
ararnon,1
aratiles,7
arauna,1
arayis,1
arbathnon,1
arbinhon,1
arcehanon,1
arestado,2
arganite,1
arhentina,1
aridatha,1
ariglado,2
arites,1
ariyos,3
arkeolohikanhong,1
arkeyologo,1
arkitekto,1
arkitektura,2
arkoba,1
armenya,1
arnan,1
aroer,3
arogante,2
arogo,1
arong,5
aroskaldo,1
arphaxad,2
arsiel,2
arsobispo,1
arteng,1
arteriya,1
arterya,1
artikulo,3
artipisyal,2
aruskaldo,1
aryat,1
aryos,1
asaawa,1
asadong,1
asagaran,1
asakit,1
asang,5
asargadda,1
asaria,1
asawag,2
asawang,1
asaynment,2
asayod,1
asdod,1
asfalto,1
asiras,2
asiria,5
asiriahanon,2
aslom,6
aslum,1
asmaveth,1
asmon,1
asno,24
asorhadatta,1
asoy,4
asperidad,1
aspeto,2
asphatha,1
astang,1
asterata,1
astrolohiya,1
astronimiya,1
astronimya,1
astronomiya,16
astronomo,1
asukal,9
asukar,21
asul,41
asula,1
asupri,1
aswang,4
asyana,1
asyano,1
asyatiko,1
at,6
atabay,22
atad,2
atai,1
atake,5
atakehon,3
atay,10
atbang,18
atensiyon,1
atensyon,3
atibook,2
atikatik,2
atilano,1
atiman,1
atimana,2
atimanon,1
atindiron,1
atlantiko,5
atleta,1
atoa,12
atoan,1
atoang,9
atob,1
atong,153
atopan,1
atrak,1
atraksyon,1
atrophaneura,1
atrothsophan,1
atsara,1
atua,16
atuang,3
atub,1
atubang,6
atubanga,2
atubangan,232
atubangon,2
atung,2
atwo,1
atwubangan,2
australoid,1
australya,3
