word,frequency
aabangan,1
aabante,1
aabot,2
aabugado,1
aabuso,1
aabw,1
aaccept,1
aacta,1
aadal,4
aadalan,3
aadbokasiya,1
aagdahon,1
aagi,1
aagihan,4
aagihanduros,1
aaging,1
aagom,1
aagomon,1
aako,2
aamin,2
aamund,1
aanalisar,1
aangat,1
aanhon,1
aanihon,1
aanuhon,2
aapekto,1
aapod,1
aapodon,1
aaporon,2
aapudon,2
aapudong,1
aarinman,1
aarog,1
aarogan,2
aaronikong,1
aarugon,2
aasang,1
aasin,2
aasinani,1
aatakehon,1
aatakihon,2
aawit,1
aawol,1
abaci,1
abaga,5
abai,2
abaka,6
abakadang,1
abakanowicz,2
abakelia,5
abala,1
abalang,1
abandonadong,1
abandunahin,1
abangan,1
abaniko,2
abante,1
abawabaw,1
abbasmustans,1
abbensetts,1
abch,2
abdaljalil,1
abdelghani,1
abdeljalil,2
abdelkrim,1
abderahim,1
abdeslam,2
abdessalam,1
abdisaldan,1
abduljalil,1
abduljelil,1
abellana,2
abenida,2
abiertas,1
abilidad,16
abisar,1
abiso,8
abogada,2
abogadas,1
abogadong,2
abogasiya,1
abogasya,9
abolhasan,1
abolisyonista,1
abono,1
aborlan,1
abotkaya,1
aboton,3
aboyabos,3
aboyaboy,1
abraamiko,1
abrahamian,1
abrahamikong,1
abrilmayo,1
abscbn,11
abstracto,1
abstrak,2
abstraksyon,1
abstrakto,1
abtang,2
abti,1
abucay,4
abucayan,1
abudkadyrova,1
abueva,4
abugida,1
abui,3
abukado,2
abukuma,1
abuloy,1
abunda,4
abundang,1
abundanteng,1
abunjingbunjing,1
abuno,1
abuton,3
abyador,1
acadfest,1
acadmie,1
acads,4
accla,3
accling,1
acelino,1
acetyleneair,1
achel,1
achista,1
acordion,1
actibo,2
actionmystery,1
acub,1
adajania,1
adalan,6
adalon,1
adapatation,1
adaptasyon,5
adaptasyong,1
adarna,1
adbentura,3
adbenturero,1
adbokador,2
adbokasiiya,1
adbokasiya,6
adbokasiyang,1
adbokasya,1
adbukador,1
addictionemcdda,1
additamenta,1
adelaar,3
adelborg,3
adgaw,1
adhatoda,1
adiksion,1
adikto,1
adinfinitum,1
adlade,2
adlersparre,1
administrasiyong,1
administrasyon,38
administrasyong,1
administratibo,5
administratibong,2
admistratibo,1
adnu,1
adobohon,1
adobong,1
adorna,1
adrados,1
adriatiko,1
advantange,1
adventture,1
adversario,1
advocacia,2
advovacia,1
aerialista,1
aertselaer,1
aespa,2
aeta,3
afck,1
afinidad,1
agalon,1
agang,2
agaton,3
agatsuma,3
agaw,1
agawan,1
agawi,1
agbank,1
