abay mangaon ta
|MANGAON|RBW |TAG|FW |BILAT|FW
ako ay isang pogi,ako ay isang pogi
gwapo intawon ko,gwapo intawon ko
ako ay isang pogi,|AKO|PRS |AY|LM isang|PRI|CCP |POGI|NNC
ako ay isang pilipino,|AKO|PRS |AY|LM isang|PRI|CCP |PILIPINO|NNC
bisaya man ko dong,bisaya man ko dong
bisaya man ko dong,|BISAYA|CCT |MAN|RBI |KO|PRS |DONG|FW
baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA
baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA
baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA
baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA
