sentence,profane
"Animal man sad ka, walay respeto sa uban!",1
igwa ining sukol nin kilometro kwadradong kadagaan asin namumugtak sa solong distrito,0
gare kupal su waiter kay kenya sa rhoa makulugon sa mata hilingon,1
Bumuo ng isang piraso ng dialog sa pagitan ng dalawang karakter na tumatalakay sa kasalukuyang panahon.,0
pc pala ang wala ako pakshet,1
kahit sa airport na malayuan ko lang makita okay na sana tangina naman,1
an tunong ka ini ay magiging katinig na l pag pigdagdagan nin virama an irarom,0
Baguhin ang sumusunod na parirala upang makagawa ng isang retorika na tanong,0
ug si jehova miingon kang moises isulti mo sa mga sacerdote,0
nagpahuway lang kadiyot dayon nagluto alang sa panihapon,0
haha kinikilig ako amputa tanga,1
mahihiling sa probinsya kan sur na sulawesi an pirang mga tataramon sa selibiko hal,0
Sumulat ng pambungad na pahayag para sa isang presentasyon,0
tanga mo sa part na pinagpalit mo ako agad,1
nagin matriyumpo an saiyang karera kan para sa pelikulang satire na maps to the stars asin dramang still alice,0
"Hala, maayo pa ang animal kaysa nimo!",1
pigeksportar naman an manggang prutas na de lata kan dakul nang nasyon,0
tangina lagi na lang adamson nakakakuha ng points sa mga loh rallies punyeta,1
ug ang mga anak ni ruben,0
parati an bhb o npa nagkokolekta nin buhis sa mga negosyong yaon sa lugar kun saen sinda nagooperar asin makusog,0
ang kini nga suspetsado,0
kauragon nag ibahan pa talaga kamong dangag,1
ug kong ang vaca sa usa ka tawo makasamad sa vaca sa iyang isigkatawo,0
an alitoktok kan bukid yaon sa banwaan nin kabayan sa probinsya nin benguet,0
"Wala kay klase, animal ra imong pamatasan!",1
wala siyang tinawag na bobo,1
Pagbukud-bukurin ang mga sumusunod na halaga mula sa pinakamaliit hanggang sa pinakamalaki: mula -2 hanggang 3.,0
an kunab kaini mahamis o maalsom asin sa laog may pisog na kayumanggihon,0
an luwas na ubak kan bunga mismo berde kun hilaw alagad nalilang itom an kolor na boot sabihon hinog na nanggad asin an apod kaini litik na,0
ulol miss mo nanaman ako haha,1
bwiset tangina parang yoko na maglaro,1
kan pigpangaranan siyang pinakaenot na filipinong demograpo kan philippine american foundation,0
nagklase sa russia asin buminalyo sa estados unidos kan,0
Ilarawan kung paano magse-set up ang isang user ng account sa isang bagong social media site.,0
medyo tayo dun ha like you were expecting pala eh tapos natutuwa ka pa tapos ngayon hm pakyu,1
puta magaling talaga yung kalaban namin,1
an simbahan klasipikado bilang sarong national historical landmark kan national historical commision of the philippines asin national cultural treasure kan national museum of the philippines,0
panginabuhi ang imong ginahimo,0
an jolo nagin sentro kan gobyerno kan sultanato nin sulu,0
