FW_Word
/MAOY|JJD
/MIUNA|VBAF
/DIDTO|PRS
/MAGHULAT|VB
/WALAY|DTC
/DUHADUHA|JJD
/GWAPA|JJD
/ADLAW|NNC
/ADUNAY|DTC
/BISAN|RBF
/LAWAS|NNC
/MISKAG|PRS
/HIGAYON|NNC
/GIUNSA|VB
/ENOC|NNP
/GILALIN|VBOF
/NGADTO|PRS
/BISTI|NNC
/GISUGO|VBOF
/MAGANES|NNC
/MILAKAW|VBOF
/MIPAULI|VBAF
/BASAHA|VB
/PALIHOG|RBF
/USOB|VB
/MOADTO|VBAF
/PERMI|RBF
/EDRALIN|NNP
/BANHA|NNC
/MIINGON|VBOF
/MAHITUNGOD|PRS
/NASUD|NNC
/MIABOT|VBOF
/GIPANGALIYUPO|VBOF
/GABII|NNC
/GIBUHAT|VBOF
/JUVENIE|NNP
/MINGDALI|VBOF
/MIPAKANAUG|VBAF
/DUNOT|NNC
/TIQUICO|NNP
/BILHA|NNC
/ULIPON|NNC
/MAASAWA|NNC
/NOLDO|NNP
/ILALOM|PRS
/KINAON|VB
/NIINI|PRP
/FILISTEHANON|NNP
/MIDUKO|VBOF
/UBAN|PRS
/SULOD|PRS
/MOPAHULAY|VBAF
/TUNGOD|PRS
/BABAYE|NNC
/ETIOPIAHANON|NNP
/MAHIMOG|VB
/GIKAN|PRS
/MASKIG|PRS
/KINSA|PRP
/DAPIT|PRS
/TAKOM|NNC
/PINAAGI|PRS
/MANGAYOG|VBAF
/NIYAG|PRP
/PILAY|NNC
/IMONG|PRP
/IDAD|NNC
/GABAS|NNC
/NAPUD|RBF
/IHEABARIM|NNP
/MINGPAHALUNA|VBOF
/AMOA|PRP
/MIKUNSAD|VBOF
/SULOB|VB
/SIYAG|PRP
/ANTIPARA|NNC
/TIBUOK|JJD
/TAWO|NNC
/MINGPAHAWA|VBOF
/MISUBAY|VBOF
/MAGAHALAD|VBAF
/BALANGHOY|NNC
/LINGKOD|VB
/GIBARIL|VBOF
/BARAYUGA|NNP
/RUBENHANON|NNP
/GATUS|NNC
/USAB|RBF
/MOANHI|VBAF
/DADON|VB
/DIHA|PRS
/IGASULAT|VBAF
/MISUBANG|VBOF
/ELISAMA|NNP
/MIPUYO|VBAF
/PIRME|RBF
/GIHULAT|VBOF
/TINGGUTOM|NNC
/MIPALIT|VBAF
/IMUNG|PRP
/SINEGWELAS|NNC
/TAPAD|PRS
/MITUBAG|VBOF
/JAIJAI|NNP
/GAINOM|VB
/DUGA|NNC
/CARNERO|NNP
/MAGAHILING|VBAF
/BODBOD|NNC
/TAMALIS|NNC
/NABUHAT|VBOF
/MATTHAI|NNP
/BRUNHILD|NNP
/OKTUBRE|NNP
/MOLINGKOD|VBAF
/HASARSUAL|NNP
/MITUNGAS|VBOF
/ISBOSETH|NNP
/KATLOAN|NUM
/UNOM|NUM
/PIRMI|RBF
/HALADSAPAKIGDAIT|NNC
/MURAG|RBF
/ASIRIA|NNP
/PANAHONA|NNC
/MOLAKAW|VBAF
